190367	0.4	0.00025	10	253	3.76034804	6.25
190368	0.4	0.00035	10.05	249	3.421686296	6.76
190369	0.4	0.00045	10.1	870	11.08611204	7.29
190370	0.4	0.00055	10.15	206	2.440836544	7.84
190371	0.4	0.00065	10.2	503	5.555965349	8.41
190372	0.4	0.00075	10.25	110	1.135370785	9
190373	0.4	0.00085	10.3	240	2.319932737	9.61
190374	0.4	0.00095	10.35	290	2.630786354	10.24
190375	0.4	0.00105	10.4	113	0.963913589	10.89
190376	0.4	0.00115	10.45	175	1.406266897	11.56
190377	0.4	0.00125	10.5	107	0.81140042	12.25
190378	0.4	0.00135	10.55	100	0.716774486	12.96
190379	0.4	0.00145	10.6	730	4.953440506	13.69
190380	0.4	0.00155	10.65	440	2.830564284	14.44
190381	0.4	0.00165	10.7	100	0.610742757	15.21
190382	0.4	0.00175	10.75	270.2125	1.568819548	16
190383	0.4	0.00185	10.8	65.519	0.362065451	16.81
190384	0.4	0.00195	10.85	40.275	0.212092107	17.64
190385	0.4	0.00205	10.9	50.69	0.254667145	18.49
190386	0.4	0.00215	10.95	39.3925	0.189014765	19.36
190387	0.4	0.00225	11	28.72	0.131748885	20.25
190388	0.4	0.00235	11.05	29.2	0.128190171	21.16
190389	0.4	0.00245	11.1	24	0.100926001	22.09
190390	0.4	0.00255	11.15	26	0.104828269	23.04
190391	0.4	0.00265	11.2	95	0.367552164	24.01
190392	0.4	0.00275	11.25	132	0.490480179	25
190393	0.4	0.00285	11.3	74	0.26428889	26.01
190394	0.4	0.00295	11.35	61	0.209561108	27.04
190395	0.4	0.00305	11.4	96	0.317473173	28.09
190396	0.4	0.00315	11.45	36	0.114683918	29.16
190397	0.4	0.00325	11.5	32	0.098268005	30.25
190398	0.4	0.00335	11.55	21	0.062205786	31.36
190399	0.4	0.00345	11.6	23	0.065760584	32.49
190400	0.4	0.00355	11.65	24	0.066273941	33.64
190401	0.4	0.00365	11.7	35	0.093401007	34.81
190402	0.4	0.00375	11.75	153	0.394799387	36
190403	0.4	0.00385	11.8	249	0.621623202	37.21
190404	0.4	0.00395	11.85	7	0.016916176	38.44
190405	0.4	0.00405	11.9	16	0.03744781	39.69
190406	0.4	0.00415	11.95	13	0.029482951	40.96
190407	0.4	0.00425	12	11	0.024185413	42.25
190408	0.4	0.00435	12.05	24	0.051181253	43.56
190409	0.4	0.00445	12.1	29	0.0600117	44.89
190410	0.4	0.00455	12.15	113	0.227011656	46.24
190411	0.4	0.00465	12.2	175	0.341450228	47.61
190412	0.4	0.00475	12.25	107	0.202850105	49
190413	0.4	0.00485	12.3	100	0.184276876	50.41
190414	0.4	0.00495	12.35	73	0.130811344	51.84
190415	0.4	0.00505	12.4	44	0.076699847	53.29
190416	0.4	0.00515	12.45	100	0.169638373	54.76
