,COMID,StrLen,d50,StrDepth,Q,StrVel,StrXArea,Date
0,9731254,3448.0,0.0002770707,0.43,0.002,0.0007042253521126761,2.84,07/01/2014
1,9731254,3448.0,0.0002770707,0.43,0.002,0.0007042253521126761,2.84,07/02/2014
2,9731254,3448.0,0.0002770707,0.43,0.072,0.02535211267605634,2.84,07/03/2014
3,9731254,3448.0,0.0002770707,0.43,0.368,0.1295774647887324,2.84,07/04/2014
4,9731254,3448.0,0.0002770707,0.43,0.002,0.0007042253521126761,2.84,07/05/2014
5,9731254,3448.0,0.0002770707,0.43,0.002,0.0007042253521126761,2.84,07/06/2014
6,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/07/2014
7,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/08/2014
8,9731254,3448.0,0.0002770707,0.43,0.019,0.006690140845070422,2.84,07/09/2014
9,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/10/2014
10,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/11/2014
11,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/12/2014
12,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/13/2014
13,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/14/2014
14,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/15/2014
15,9731254,3448.0,0.0002770707,0.43,0.167,0.058802816901408456,2.84,07/16/2014
16,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/17/2014
17,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/18/2014
18,9731254,3448.0,0.0002770707,0.43,0.002,0.0007042253521126761,2.84,07/19/2014
19,9731254,3448.0,0.0002770707,0.43,0,0.0,2.84,07/20/2014
20,9731254,3448.0,0.0002770707,0.43,0.223,0.07852112676056339,2.84,07/21/2014
21,9731254,3448.0,0.0002770707,0.43,0.002,0.0007042253521126761,2.84,07/22/2014
22,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/23/2014
23,9731254,3448.0,0.0002770707,0.43,0.01,0.0035211267605633804,2.84,07/24/2014
24,9731254,3448.0,0.0002770707,0.43,0.005,0.0017605633802816902,2.84,07/25/2014
25,9731254,3448.0,0.0002770707,0.43,0.001,0.00035211267605633805,2.84,07/26/2014
26,9731254,3448.0,0.0002770707,0.43,0.002,0.0007042253521126761,2.84,07/27/2014
27,9731254,3448.0,0.0002770707,0.43,0.003,0.0010563380281690142,2.84,07/28/2014
28,9731254,3448.0,0.0002770707,0.43,0,0.0,2.84,07/29/2014
29,9731254,3448.0,0.0002770707,0.43,0,0.0,2.84,07/30/2014
30,9731254,3448.0,0.0002770707,0.43,0,0.0,2.84,07/31/2014
