190367	0.15	0.00025	10	0.1365	0.002028804	6.25
190368	0.3	0.00035	10.05	0.066	0.000906953	6.76
190369	0.45	0.00045	10.1	0.0265	0.00033768	7.29
190370	0.6	0.00055	10.15	0.44	0.005213437	7.84
190371	0.75	0.00065	10.2	0.46	0.005081002	8.41
190372	0.9	0.00075	10.25	0.13	0.001341802	9
190373	1.05	0.00085	10.3	0.19	0.001836613	9.61
190374	1.2	0.00095	10.35	0.16	0.001451468	10.24
190375	1.35	0.00105	10.4	0.13	0.001108927	10.89
190376	1.5	0.00115	10.45	0.14	0.001125014	11.56
190377	1.65	0.00125	10.5	0.13	0.000985814	12.25
190378	1.8	0.00135	10.55	0.09965	0.000714266	12.96
190379	1.95	0.00145	10.6	0.0693	0.000470238	13.69
190380	2.1	0.00155	10.65	0.07445	0.000478944	14.44
190381	2.25	0.00165	10.7	0.1014125	0.000619369	15.21
190382	2.4	0.00175	10.75	0.272125	0.001579923	16
190383	2.55	0.00185	10.8	0.65519	0.003620655	16.81
190384	2.7	0.00195	10.85	0.40275	0.002120921	17.64
190385	2.85	0.00205	10.9	0.5069	0.002546671	18.49
190386	3	0.00215	10.95	0.393925	0.001890148	19.36
190387	3.15	0.00225	11	0.2872	0.001317489	20.25
190388	3.3	0.00235	11.05	0.292	0.001281902	21.16
190389	3.45	0.00245	11.1	0.24	0.00100926	22.09
190390	3.6	0.00255	11.15	0.26	0.001048283	23.04
190391	3.75	0.00265	11.2	0.95	0.003675522	24.01
190392	3.9	0.00275	11.25	1.32	0.004904802	25
190393	4.05	0.00285	11.3	0.74	0.002642889	26.01
190394	4.2	0.00295	11.35	0.61	0.002095611	27.04
190395	4.35	0.00305	11.4	0.96	0.003174732	28.09
190396	4.5	0.00315	11.45	0.36	0.001146839	29.16
190397	4.65	0.00325	11.5	0.32	0.00098268	30.25
190398	4.8	0.00335	11.55	0.21	0.000622058	31.36
190399	4.95	0.00345	11.6	0.23	0.000657606	32.49
190400	5.1	0.00355	11.65	0.24	0.000662739	33.64
190401	5.25	0.00365	11.7	0.35	0.00093401	34.81
190402	5.4	0.00375	11.75	1.53	0.003947994	36
190403	5.55	0.00385	11.8	2.49	0.006216232	37.21
190404	5.7	0.00395	11.85	0.07	0.000169162	38.44
190405	5.85	0.00405	11.9	0.16	0.000374478	39.69
190406	6	0.00415	11.95	0.13	0.00029483	40.96
190407	6.15	0.00425	12	0.11	0.000241854	42.25
190408	6.3	0.00435	12.05	0.24	0.000511813	43.56
190409	6.45	0.00445	12.1	0.29	0.000600117	44.89
190410	6.6	0.00455	12.15	1.13	0.002270117	46.24
190411	6.75	0.00465	12.2	1.75	0.003414502	47.61
190412	6.9	0.00475	12.25	1.07	0.002028501	49
190413	7.05	0.00485	12.3	1	0.001842769	50.41
190414	7.2	0.00495	12.35	0.73	0.001308113	51.84
190415	7.35	0.00505	12.4	0.44	0.000766998	53.29
190416	7.5	0.00515	12.45	1	0.001696384	54.76
